m_date,site_name,temp,ph,ec,do,탁도 (NTU),toc,tn,tp,clola-a
2018-01-23 08h,주암호,,,,,,,,,
2018-01-23 09h,주암호,,,,,,,,,
2018-01-23 10h,주암호,,,,,,,,,
2018-01-23 11h,주암호,,,,,,,,,
2018-01-23 12h,주암호,,,,,,,,,
2018-01-23 13h,주암호,,,,,,,,,
2018-01-23 14h,주암호,,,,,,,,,
2018-01-23 15h,주암호,,,,,,,,,
2018-01-23 16h,주암호,,,,,,,,,
2018-01-23 17h,주암호,,,,,,,,,
2018-01-23 18h,주암호,,,,,,,,,
2018-01-23 19h,주암호,,,,,,,,,
2018-01-23 20h,주암호,,,,,,,,,
2018-01-23 21h,주암호,,,,,,,,,
2018-01-23 22h,주암호,,,,,,,,,
2018-01-23 23h,주암호,,,,,,,,,
2018-01-24 00h,주암호,,,,,,,,,
2018-01-24 01h,주암호,,,,,,,,,
2018-01-24 02h,주암호,,,,,,,,,
2018-01-24 03h,주암호,,,,,,,,,
2018-01-24 04h,주암호,,,,,,,,,
2018-01-24 05h,주암호,,,,,,,,,
2018-01-24 06h,주암호,,,,,,,,,
2018-01-24 07h,주암호,,,,,,,,,
2018-01-24 08h,주암호,,,,,,,,,
2018-01-24 09h,주암호,,,,,,,,,
2018-01-24 10h,주암호,,,,,,,,,
2018-01-24 11h,주암호,,,,,,,,,
2018-01-24 12h,주암호,,,,,,,,,
2018-01-24 13h,주암호,,,,,,,,,
2018-01-24 14h,주암호,,,,,,,,,
2018-01-24 15h,주암호,,,,,,,,,
2018-01-24 16h,주암호,,,,,,,,,
2018-01-24 17h,주암호,,,,,,,,,
2018-01-24 18h,주암호,,,,,,,,,
2018-01-24 19h,주암호,,,,,,,,,
2018-01-24 20h,주암호,,,,,,,,,
2018-01-24 21h,주암호,,,,,,,,,
2018-01-24 22h,주암호,,,,,,,,,
2018-01-24 23h,주암호,,,,,,,,,
2018-01-25 00h,주암호,,,,,,,,,
2018-01-25 01h,주암호,,,,,,,,,
2018-01-25 02h,주암호,,,,,,,,,
2018-01-25 03h,주암호,,,,,,,,,
2018-01-25 04h,주암호,,,,,,,,,
2018-01-25 05h,주암호,,,,,,,,,
2018-01-25 06h,주암호,,,,,,,,,
2018-01-25 07h,주암호,,,,,,,,,
2018-01-25 08h,주암호,,,,,,,,,
2018-01-25 09h,주암호,,,,,,,,,
2018-01-25 10h,주암호,,,,,,,,,
2018-01-25 11h,주암호,,,,,,,,,
2018-01-25 12h,주암호,,,,,,,,,
2018-01-25 13h,주암호,,,,,,,,,
2018-01-25 14h,주암호,,,,,,,,,
2018-01-25 15h,주암호,,,,,,,,,
2018-01-25 16h,주암호,,,,,,,,,
2018-01-25 17h,주암호,,,,,,,,,
2018-01-25 18h,주암호,,,,,,,,,
2018-01-25 19h,주암호,,,,,,,,,
2018-01-25 20h,주암호,,,,,,,,,
